id,dose,total,alive,y,y_notnormal,y_normal,y_malform,y_dead,z2,z3,z4,dose2,dosesqrt
67,1.5,8,8,6,2,6,2,0,0,1,0,2.25,1.2247448714
68,1.5,3,3,2,1,2,1,0,0,1,0,2.25,1.2247448714
69,1.5,7,7,7,0,7,0,0,0,1,0,2.25,1.2247448714
70,1.5,10,10,6,4,6,4,0,0,1,0,2.25,1.2247448714
71,1.5,12,12,12,0,12,0,0,0,1,0,2.25,1.2247448714
72,3,7,7,3,4,3,4,0,0,0,1,9,1.7320508076
73,3,11,10,1,10,1,9,1,0,0,1,9,1.7320508076
74,3,12,12,8,4,8,4,0,0,0,1,9,1.7320508076
75,3,12,11,0,12,0,11,1,0,0,1,9,1.7320508076
76,3,10,10,3,7,3,7,0,0,0,1,9,1.7320508076
77,3,10,10,1,9,1,9,0,0,0,1,9,1.7320508076
78,3,4,4,1,3,1,3,0,0,0,1,9,1.7320508076
79,3,7,7,0,7,0,7,0,0,0,1,9,1.7320508076
80,3,4,4,3,1,3,1,0,0,0,1,9,1.7320508076
81,3,12,12,0,12,0,12,0,0,0,1,9,1.7320508076
82,3,14,12,0,14,0,12,2,0,0,1,9,1.7320508076
83,3,14,14,3,11,3,11,0,0,0,1,9,1.7320508076
84,3,11,11,6,5,6,5,0,0,0,1,9,1.7320508076
85,3,12,12,8,4,8,4,0,0,0,1,9,1.7320508076
86,3,12,12,7,5,7,5,0,0,0,1,9,1.7320508076
87,3,14,12,9,5,9,3,2,0,0,1,9,1.7320508076
88,3,10,10,1,9,1,9,0,0,0,1,9,1.7320508076
89,3,9,9,9,0,9,0,0,0,0,1,9,1.7320508076
90,3,9,9,4,5,4,5,0,0,0,1,9,1.7320508076
91,3,7,7,5,2,5,2,0,0,0,1,9,1.7320508076
92,3,13,12,9,4,9,3,1,0,0,1,9,1.7320508076
93,3,7,7,5,2,5,2,0,0,0,1,9,1.7320508076
94,3,12,12,11,1,11,1,0,0,0,1,9,1.7320508076
